experiment,source_feature,aggregated_columns,accuracy,balanced_accuracy,macro_f1
cyber_schema_A_3class,time_since_last_packet,7,0.5962145110410094,0.6679718533651119,0.5684936362685723
cyber_schema_A_3class,llc.type,7,0.5488958990536278,0.6104620644648735,0.5351848936578504
cyber_schema_A_3class,udp.length,7,0.637223974763407,0.6028260129383725,0.5245210727969348
cyber_schema_A_3class,wlan.fc.subtype,7,0.5520504731861199,0.6248971456134377,0.5177263827102841
cyber_schema_A_3class,ip.proto,7,0.5425867507886435,0.6170482919078425,0.5020757020757022
cyber_schema_A_3class,ip.len,7,0.5394321766561514,0.6120829077289751,0.4995115995115995
cyber_schema_A_3class,wlan.duration,7,0.555205047318612,0.6343242821473158,0.4962362478286045
cyber_schema_A_3class,wlan.fc.type,7,0.5425867507886435,0.6170482919078425,0.49597578984312407
cyber_schema_A_3class,udp.srcport,7,0.5299684542586751,0.6027408920667348,0.48837746936447674
cyber_schema_A_3class,data.len,7,0.5236593059936908,0.5955233514924526,0.4867195767195767
cyber_schema_A_3class,frame.len,7,0.5362776025236593,0.612125468164794,0.48593365203534694
cyber_schema_A_3class,ip.hdr_len,7,0.5141955835962145,0.5822657757348769,0.4850389863547759
cyber_schema_A_3class,ip.ttl,7,0.5362776025236593,0.6126716604244694,0.48369963369963376
cyber_schema_A_3class,udp.dstport,7,0.5078864353312302,0.5777437294291227,0.469239429992606
cyber_schema_A_3class,frame.protocols,7,0.5173501577287066,0.5923845193508115,0.45660044150110374
cyber_schema_A_3class,ip.flags,7,0.4416403785488959,0.5003298433775961,0.39021739361442126
cyber_schema_A_3class,tcp.dstport,7,0.4416403785488959,0.5003298433775961,0.39021739361442126
cyber_schema_A_3class,tcp.hdr_len,7,0.4416403785488959,0.5003298433775961,0.39021739361442126
cyber_schema_A_3class,tcp.flags,7,0.4416403785488959,0.5003298433775961,0.39021739361442126
cyber_schema_A_3class,tcp.window_size,7,0.4416403785488959,0.5003298433775961,0.39021739361442126
cyber_schema_A_3class,tcp.options,7,0.4416403785488959,0.5003298433775961,0.39021739361442126
cyber_schema_A_3class,tcp.srcport,7,0.4384858044164038,0.49780459085234363,0.3847835041864893
cyber_schema_A_3class,wlan.frag,7,0.3028391167192429,0.3333333333333333,0.1549636803874092
physical_schema_A_3class,barometer,7,0.9007633587786259,0.8395061728395062,0.8125479368001228
physical_schema_A_3class,mp_distance_x,7,0.48091603053435117,0.4148148148148148,0.36951980183245287
physical_schema_A_3class,mp_distance_y,7,0.45038167938931295,0.39894179894179893,0.35373387577550236
physical_schema_A_3class,temperature,7,0.4351145038167939,0.33589065255731926,0.33268234554211285
physical_schema_A_3class,roll,7,0.37404580152671757,0.3038800705467372,0.30568542568542567
physical_schema_A_3class,x_speed,7,0.366412213740458,0.41904761904761906,0.2701291164949949
physical_schema_A_3class,y_speed,7,0.22900763358778625,0.3673721340388007,0.23970702820632694
physical_schema_A_3class,distance,7,0.22137404580152673,0.3215167548500882,0.22460905349794236
physical_schema_A_3class,height,7,0.22137404580152673,0.22830687830687832,0.1891098626716604
physical_schema_A_3class,pitch,7,0.1984732824427481,0.31746031746031744,0.18766049156272926
physical_schema_A_3class,yaw,7,0.22900763358778625,0.3349206349206349,0.1836283185840708
physical_schema_A_3class,battery,7,0.22900763358778625,0.1609347442680776,0.17537171178040412
physical_schema_A_3class,mp_distance_z,7,0.16030534351145037,0.3286596119929453,0.12864417084663324
physical_schema_A_3class,z_speed,7,0.12213740458015267,0.26666666666666666,0.0735632183908046
