experiment,source_feature,total_gain,gain_fraction
cyber_schema_A_3class,time_since_last_packet,12476.605697631836,0.6959195297698397
cyber_schema_A_3class,wlan.fc.type,996.2189627885818,0.055567054769008146
cyber_schema_A_3class,frame.len,852.3970324993134,0.047544961859836865
cyber_schema_A_3class,tcp.srcport,662.0763511657715,0.036929263787062655
cyber_schema_A_3class,wlan.duration,555.2953594326973,0.03097323861834686
cyber_schema_A_3class,ip.len,446.2618713378906,0.024891573812789555
cyber_schema_A_3class,wlan.fc.subtype,398.07469940185547,0.022203791987558907
cyber_schema_A_3class,frame.protocols,296.8085455298424,0.016555373187437012
cyber_schema_A_3class,data.len,293.2767276763916,0.01635837561619272
cyber_schema_A_3class,udp.length,283.3859806060791,0.01580668998814159
cyber_schema_A_3class,udp.dstport,137.23085832595825,0.007654456405097371
cyber_schema_A_3class,llc.type,131.12918281555176,0.007314117433511837
cyber_schema_A_3class,ip.ttl,96.59550762176514,0.005387899711760322
cyber_schema_A_3class,ip.proto,83.96332377195358,0.004683302351085886
cyber_schema_A_3class,udp.srcport,74.89589929580688,0.0041775399722314135
cyber_schema_A_3class,ip.flags,74.79027307033539,0.004171648357561292
cyber_schema_A_3class,ip.hdr_len,61.45347785949707,0.0034277492173067498
cyber_schema_A_3class,tcp.dstport,7.770689487457275,0.0004334331552310854
physical_schema_A_3class,barometer,6403.197608947754,0.999680759367195
physical_schema_A_3class,mp_distance_x,0.4706363966688514,7.347675007722796e-05
physical_schema_A_3class,yaw,0.33337292075157166,5.2046885778394246e-05
physical_schema_A_3class,roll,0.2555695250630379,3.990005501768604e-05
physical_schema_A_3class,mp_distance_z,0.2140558734536171,3.3418855888829114e-05
physical_schema_A_3class,mp_distance_y,0.18318364769220352,2.8599018679776142e-05
physical_schema_A_3class,battery,0.17673254292458296,2.75918585534292e-05
physical_schema_A_3class,pitch,0.1359054596396163,2.121784792411017e-05
physical_schema_A_3class,temperature,0.1243890430778265,1.9419880602659526e-05
physical_schema_A_3class,distance,0.06496169418096542,1.014195714932478e-05
physical_schema_A_3class,x_speed,0.04102411866188049,6.4047722092740486e-06
physical_schema_A_3class,y_speed,0.02895703911781311,4.520834217871032e-06
physical_schema_A_3class,height,0.01602538302540779,2.501916706366095e-06
