source_families,aggregated_features,selected_sources,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,log_loss,brier,ece_15,macro_f1_retention,macro_f1_retention_corrected
1,7,time_since_last_packet,0.6151419558359621,0.6491601407331745,0.6417693169092945,0.6491601407331745,0.6348437348508935,0.6115008735335448,0.7808910132942136,0.515881566697391,0.2002407695028684,0.9859938535776904,0.9719015494611521
2,14,"time_since_last_packet,wlan.fc.type",0.6309148264984227,0.6658473782771536,0.6581613676592503,0.6658473782771536,0.649296074846998,0.6262964765800876,0.8093362728422974,0.5261690274868908,0.1969414639172118,1.0084401937141667,0.9940270755779884
3,21,"time_since_last_packet,wlan.fc.type,frame.len",0.6214511041009464,0.6553030303030303,0.6399693153857288,0.6553030303030303,0.6393450380956888,0.6161166477346436,0.7938726976094407,0.5145388014461592,0.1955119298083548,0.9929849556218808,0.9787927312718044
4,28,"time_since_last_packet,wlan.fc.type,frame.len,tcp.srcport",0.6277602523659306,0.6619743786176371,0.6476770996860283,0.6619743786176371,0.6448300172086773,0.6220931455860272,0.8166923824960933,0.5175170525743001,0.1866136990511078,1.0015038326234451,0.9871898523364514
5,35,"time_since_last_packet,wlan.fc.type,frame.len,tcp.srcport,wlan.duration",0.637223974763407,0.670770202020202,0.6534782608695653,0.670770202020202,0.6524645470723902,0.6307888142180219,0.8133551136627655,0.5108537155358915,0.1770192419504893,1.0133612380089525,0.9988777859122514
6,42,"time_since_last_packet,wlan.fc.type,frame.len,tcp.srcport,wlan.duration,ip.len",0.6277602523659306,0.6629213483146067,0.6482193732193732,0.6629213483146067,0.6439151446682985,0.6211178869877232,0.8167503654749668,0.5153848826833325,0.1885918705997407,1.0000829180706186,0.9857892461860851
8,56,"time_since_last_packet,wlan.fc.type,frame.len,tcp.srcport,wlan.duration,ip.len,wlan.fc.subtype,frame.protocols",0.637223974763407,0.6676561967994551,0.6528082307303086,0.6676561967994551,0.653363505289914,0.6330476542690556,0.8346971041228373,0.5146207906337257,0.1811016015825964,1.0147574355744993,1.0002540283425518
10,70,"time_since_last_packet,wlan.fc.type,frame.len,tcp.srcport,wlan.duration,ip.len,wlan.fc.subtype,frame.protocols,data.len,udp.length",0.6340694006309149,0.667698757235274,0.6555553595682007,0.667698757235274,0.6502477220853068,0.6287953019659857,0.8305575017499537,0.5210386463732415,0.1920366990453437,1.0099182240958746,0.9954839812300068
12,84,"time_since_last_packet,wlan.fc.type,frame.len,tcp.srcport,wlan.duration,ip.len,wlan.fc.subtype,frame.protocols,data.len,udp.length,udp.dstport,llc.type",0.61198738170347,0.6452871410736579,0.6316766692983252,0.6452871410736579,0.629306808332791,0.6069576127585425,0.8291883944443187,0.519537615250667,0.2020589523134923,0.977394295584348,0.9634249005367356
18,126,"time_since_last_packet,wlan.fc.type,frame.len,tcp.srcport,wlan.duration,ip.len,wlan.fc.subtype,frame.protocols,data.len,udp.length,udp.dstport,llc.type,ip.ttl,ip.proto,udp.srcport,ip.flags,ip.hdr_len,tcp.dstport",0.6277602523659306,0.6610274089206674,0.645675178283874,0.6610274089206674,0.6438617568936718,0.6220833535250612,0.8240926839906297,0.5180829683825761,0.1841647707701481,1.0,0.9857075132208947
